student_id,name,email,age,gender,department,status,age_group,ingestion_timestamp
STU00001,Student 1,student1@campus.edu,20,Male,Business,active,18-22,2026-09-18 11:36:26.834319
STU00002,Student 2,student2@campus.edu,22,Male,Business,inactive,18-22,2026-09-18 11:36:26.834319
STU00003,Student 3,student3@campus.edu,16,Other,Engineering,active,<18,2026-09-18 11:36:26.834319
STU00004,Student 4,student4@campus.edu,62,unknown,Computer Science,active,25+,2026-09-18 11:36:26.834319
STU00005,Student 5,student5@campus.edu,32,unknown,Engineering,active,25+,2026-09-18 11:36:26.834319
STU00006,Student 6,student6@campus.edu,30,Female,Science,inactive,25+,2026-09-18 11:36:26.834319
STU00007,Student 7,student7@campus.edu,29,Female,Computer Science,active,25+,2026-09-18 11:36:26.834319
STU00008,Student 8,student8@campus.edu,23,unknown,Computer Science,active,22-25,2026-09-18 11:36:26.834319
STU00009,Student 9,student9@campus.edu,62,Other,Medicine,active,25+,2026-09-18 11:36:26.834319
STU00010,Student 10,Unknown,21,Male,Arts,inactive,18-22,2026-09-18 11:36:26.834319
STU00011,Student 11,student11@campus.edu,58,Female,Computer Science,active,25+,2026-09-18 11:36:26.834319
STU00012,Student 12,student12@campus.edu,62,Male,Science,active,25+,2026-09-18 11:36:26.834319
STU00013,Student 13,student13@campus.edu,49,Other,Engineering,graduated,25+,2026-09-18 11:36:26.834319
STU00014,Student 14,student14@campus.edu,20,Male,Engineering,inactive,18-22,2026-09-18 11:36:26.834319
STU00015,Student 15,student15@campus.edu,52,Other,Medicine,active,25+,2026-09-18 11:36:26.834319
STU00016,Student 16,student16@campus.edu,49,Male,Arts,active,25+,2026-09-18 11:36:26.834319
STU00017,Student 17,student17@campus.edu,17,Female,Science,active,<18,2026-09-18 11:36:26.834319
STU00018,Student 18,student18@campus.edu,16,Female,Engineering,active,<18,2026-09-18 11:36:26.834319
STU00019,Student 19,student19@campus.edu,20,unknown,Business,active,18-22,2026-09-18 11:36:26.834319
STU00020,Student 20,Unknown,28,Other,Science,active,25+,2026-09-18 11:36:26.834319
STU00021,Student 21,student21@campus.edu,29,Female,Science,active,25+,2026-09-18 11:36:26.834319
STU00022,Student 22,student22@campus.edu,47,unknown,Arts,inactive,25+,2026-09-18 11:36:26.834319
STU00023,Student 23,student23@campus.edu,53,Male,Engineering,inactive,25+,2026-09-18 11:36:26.834319
STU00024,Student 24,student24@campus.edu,16,Male,Science,inactive,<18,2026-09-18 11:36:26.834319
STU00025,Student 25,student25@campus.edu,50,unknown,Medicine,active,25+,2026-09-18 11:36:26.834319
STU00026,Student 26,Unknown,27,Male,Medicine,active,25+,2026-09-18 11:36:26.834319
STU00027,Student 27,Unknown,60,Female,Engineering,inactive,25+,2026-09-18 11:36:26.834319
STU00028,Student 28,Unknown,56,Other,Medicine,active,25+,2026-09-18 11:36:26.834319
STU00029,Student 29,Unknown,59,Female,Business,active,25+,2026-09-18 11:36:26.834319
STU00030,Student 30,Unknown,49,Female,Arts,inactive,25+,2026-09-18 11:36:26.834319
STU00031,Student 31,Unknown,48,unknown,Medicine,active,25+,2026-09-18 11:36:26.834319
STU00032,Student 32,student32@campus.edu,29,Female,Medicine,inactive,25+,2026-09-18 11:36:26.834319
STU00033,Student 33,student33@campus.edu,43,Female,Business,active,25+,2026-09-18 11:36:26.834319
STU00034,Student 34,student34@campus.edu,52,Other,Arts,active,25+,2026-09-18 11:36:26.834319
STU00035,Student 35,student35@campus.edu,32,unknown,Science,active,25+,2026-09-18 11:36:26.834319
STU00036,Student 36,student36@campus.edu,15,unknown,Arts,inactive,<18,2026-09-18 11:36:26.834319
STU00037,Student 37,student37@campus.edu,63,unknown,Computer Science,active,25+,2026-09-18 11:36:26.834319
STU00038,Student 38,student38@campus.edu,25,unknown,Engineering,inactive,22-25,2026-09-18 11:36:26.834319
STU00039,Student 39,student39@campus.edu,59,unknown,Engineering,graduated,25+,2026-09-18 11:36:26.834319
STU00040,Student 40,Unknown,42,unknown,Computer Science,graduated,25+,2026-09-18 11:36:26.834319
STU00041,Student 41,student41@campus.edu,36,unknown,Business,active,25+,2026-09-18 11:36:26.834319
STU00042,Student 42,student42@campus.edu,32,Female,Computer Science,inactive,25+,2026-09-18 11:36:26.834319
