student_id,name,email,age,gender,department,status
STU00001,Student 1,student1@campus.edu,76,M,Business,active
STU00002,Student 2,student2@campus.edu,22,M,Business,Inactive
STU00003,Student 3,student3@campus.edu,16,Other,Engineering,ACTIVE
STU00004,Student 4,student4@campus.edu,62,,Computer Science,On Leave
STU00005,Student 5,student5@campus.edu,32,,Engineering,Active
STU00006,  Student 6  ,student6@campus.edu,30,F,Science,Inactive
STU00007,  Student 7  ,student7@campus.edu,29,Female,Computer Science,On Leave
STU00008,  Student 8  ,student8@campus.edu,23,,Computer Science,On Leave
STU00009,  Student 9  ,student9@campus.edu,62,Other,Medicine,On Leave
STU00010,  Student 10  ,,21,Male,Arts,INACTIVE
STU00011,  Student 11  ,student11@campus.edu,58,Female,Computer Science,Active
STU00012,Student 12,student12@campus.edu,62,Male,Science,Active
STU00013,Student 13,student13@campus.edu,49,Other,Engineering,Graduated
STU00014,Student 14,student14@campus.edu,20,M,Engineering,INACTIVE
STU00015,Student 15,student15@campus.edu,52,Other,Medicine,On Leave
STU00016,Student 16,student16@campus.edu,49,Male,arts,Active
STU00017,Student 17,student17@campus.edu,17,Female,science,Active
STU00018,Student 18,student18@campus.edu,16,F,engineering,On Leave
STU00019,Student 19,student19@campus.edu,20,,business,On Leave
STU00020,Student 20,,28,Other,science,ACTIVE
STU00021,Student 21,student21@campus.edu,29,Female,science,ACTIVE
STU00022,Student 22,student22@campus.edu,47,,Arts,Inactive
STU00023,Student 23,student23@campus.edu,53,M,Engineering,Inactive
STU00024,Student 24,student24@campus.edu,16,M,Science,Inactive
STU00025,Student 25,student25@campus.edu,50,,Medicine,ACTIVE
STU00026,Student 26,,27,M,Medicine,On Leave
STU00027,Student 27,,60,Female,Engineering,Inactive
STU00028,Student 28,,56,Other,Medicine,Active
STU00029,Student 29,,59,Female,Business,ACTIVE
STU00030,Student 30,,49,Female,Arts,Inactive
STU00031,Student 31,,48,,Medicine,Active
STU00032,Student 32,student32@campus.edu,29,F,Medicine,Inactive
STU00033,Student 33,student33@campus.edu,43,F,Business,active
STU00034,Student 34,student34@campus.edu,52,Other,Arts,On Leave
STU00035,Student 35,student35@campus.edu,32,,Science,On Leave
STU00036,Student 36,student36@campus.edu,15,,Arts,Inactive
STU00037,Student 37,student37@campus.edu,63,,Computer Science,active
